ID,tanggal,judul,narasi,nama file gambar,text,label
293749,23-Jul-17,big data cyber security indonesia terpasang,menginformasikan lupa system bdcs big data cyber security indonesia sdh terpasang menyusul rencana wantanas ri dewan pertahanan nasional yg mengambil informasi internet indonesia,293749.jpg,big data cyber security indonesia terpasang menginformasikan lupa system bdcs big data cyber security indonesia sdh terpasang menyusul rencana wantanas ri dewan pertahanan nasional yg mengambil informasi internet indonesia,0
302429,7-Jan-17,merakyatnya jokowi jusuf kalla adegan kamera,eheum eheum merakyat kamera aktion sempurna,302429.jpg,merakyatnya jokowi jusuf kalla adegan kamera eheum eheum merakyat kamera aktion sempurna,1
306699,15-Apr-19,sms hadiah lazada birthday,lazadabirthday jualbeli online no ucapkan selamat t ’ pilih pemenang jutawan rp jt id mpad birthday th lazada info wwwgebyarlazadagg,306699.jpg,sms hadiah lazada birthday lazadabirthday jualbeli online no ucapkan selamat t ’ pilih pemenang jutawan rp jt id mpad birthday th lazada info wwwgebyarlazadagg,1
310157,24-Jun-17,takbiran dilarang kota bandung,astaghfirullah… takbiran dilarang bakar lilin diizinkan sholat dilarang dibiarkan menerus ya allah tinggal negara minoritas muslim umat islam mayoritas sedih liat nya,310157.jpg,takbiran dilarang kota bandung astaghfirullah… takbiran dilarang bakar lilin diizinkan sholat dilarang dibiarkan menerus ya allah tinggal negara minoritas muslim umat islam mayoritas sedih liat nya,0
320917,8-Apr-20,kota cirebon lockdown,besok kota cirebon lockdown penyekatan titik…kalijaga ciperna tangkil kedawung beritahu kerabatsodara yg diberitahu dapet info barangkali bermanfaat,320917.jpg,kota cirebon lockdown besok kota cirebon lockdown penyekatan titik…kalijaga ciperna tangkil kedawung beritahu kerabatsodara yg diberitahu dapet info barangkali bermanfaat,1
326548,9-Jun-17,afi nihaya faradisa lakukan plagiat,beredar postingan afi plagiat tulisan page facebook lembaga perlindungan konsumen celebes,326548.jpg,afi nihaya faradisa lakukan plagiat beredar postingan afi plagiat tulisan page facebook lembaga perlindungan konsumen celebes,0
328041,26-Jul-20,foto pesinden,pesinden ngakunya sih asli jawa bo ’ ong,328041.jpg,foto pesinden pesinden ngakunya sih asli jawa bo ’ ong,1
333711,6-Mar-18,dituding sprindik palsu fredrich yunadi kpk klarifikasi,juru bicara kpk febri diansyah “ mengadaada sprindik asli sah terpisahkan proses penyidikan kemarin ”,333711.jpg,dituding sprindik palsu fredrich yunadi kpk klarifikasi juru bicara kpk febri diansyah “ mengadaada sprindik asli sah terpisahkan proses penyidikan kemarin ”,0
342193,15-Jan-18,beredar cpns media sosial,beredar cpns media sosial,342193.jpg,beredar cpns media sosial beredar cpns media sosial,0
344548,14-Jul-20,festival layanglayang kpubawaslu sosialisasi pilkada depok,langit demokrasi kota depok sosialisasi pilkada festival layanglayang,344548.jpg,festival layanglayang kpubawaslu sosialisasi pilkada depok langit demokrasi kota depok sosialisasi pilkada festival layanglayang,0
349152,20-Agu-18,ponpes batabata pamekasan dukung khilafah gantikan pancasila,unggahan judul “ ulama muda pengasuh bata bata setuju gerakan politik idiologi ganti presiden ganti pancasila khilafah dukung,349152.jpg,ponpes batabata pamekasan dukung khilafah gantikan pancasila unggahan judul “ ulama muda pengasuh bata bata setuju gerakan politik idiologi ganti presiden ganti pancasila khilafah dukung,0
352464,6-Aug-20,video jokowi penyebab corona tembus ribu,gak tau… gmana bikin solusinya pantesan keliatan sibuk krn gak tau ap yg hrs d kerjakan,352464.jpg,video jokowi penyebab corona tembus ribu gak tau… gmana bikin solusinya pantesan keliatan sibuk krn gak tau ap yg hrs d kerjakan,1
363218,13-Sep-19,ungkapan hati bj habibie akhirat,realita … bj habibie nol … dibanggakan didunia 😭😭😭😭 ungkapan hati bj habibie akhirat bikin merinding,363218.jpg,ungkapan hati bj habibie akhirat realita … bj habibie nol … dibanggakan didunia 😭😭😭😭 ungkapan hati bj habibie akhirat bikin merinding,1
366393,20-Mar-18,yusril ihza mahendra menangkan gugatan hti pemerintah,yusril ihza mahendra menangkan gugatan hti pemerintah,366393.jpg,yusril ihza mahendra menangkan gugatan hti pemerintah yusril ihza mahendra menangkan gugatan hti pemerintah,1
377872,14-May-20,ton telur bansos pemprov jabar membusuk gudang penyimpanan bulog garut,bantuan sembako beras mie instan telur vitamin minyak sayur gula terigu tertahan gudang bulog garut tersimpan gudang didistribusikan ton telur membusuk diganti proses pendistribusian,377872.jpg,ton telur bansos pemprov jabar membusuk gudang penyimpanan bulog garut bantuan sembako beras mie instan telur vitamin minyak sayur gula terigu tertahan gudang bulog garut tersimpan gudang didistribusikan ton telur membusuk diganti proses pendistribusian,1
385533,12-Jul-20,gambar pria yaman berhubungan seks kambing ditangkap polisi,astaga…apa yg kau perbuat zik…hik hik hiksungguh memalukan,385533.jpg,gambar pria yaman berhubungan seks kambing ditangkap polisi astaga…apa yg kau perbuat zik…hik hik hiksungguh memalukan,1
385982,22-May-20,imbauan walikota solo beli tiket kebun binatang jurug pengelola sanggup makan binatang,walikota solo menghimbau paksaan beli ticket bonbin jurug hrg nya lembar rb aja sp pengelola tdk sanggup makan binatang bonbin spt harimau singa buaya dll tdk pengunjung dimasa covid monggo daftar menabur besok menuai,385982.jpg,imbauan walikota solo beli tiket kebun binatang jurug pengelola sanggup makan binatang walikota solo menghimbau paksaan beli ticket bonbin jurug hrg nya lembar rb aja sp pengelola tdk sanggup makan binatang bonbin spt harimau singa buaya dll tdk pengunjung dimasa covid monggo daftar menabur besok menuai,1
391573,30-Nov-17,personil polres rokan hulu fredi wesley tulis komentar hasut,akun nama fredi wesley foto profil personel polres rokan hulu menuliskan komentar status berbau sara ujaran kebencian,391573.jpg,personil polres rokan hulu fredi wesley tulis komentar hasut akun nama fredi wesley foto profil personel polres rokan hulu menuliskan komentar status berbau sara ujaran kebencian,0
394466,28-Apr-20,webinar generasi milenial mencegah mengatasi virus corona,minggu april simak,394466.jpg,webinar generasi milenial mencegah mengatasi virus corona minggu april simak,1
398317,16-Agu-18,surat mengatasnamakan deputi bpom terkait iklan ucapan ultah bpom,kepala seksi penyidikan bpom surabaya siti amanah permintaan iklan ucapan hut bpom perusahaan,398317.jpg,surat mengatasnamakan deputi bpom terkait iklan ucapan ultah bpom kepala seksi penyidikan bpom surabaya siti amanah permintaan iklan ucapan hut bpom perusahaan,0
401548,11-Aug-20,lampu bendera lebanon dinyalakan piramida mesir,lampu bendera lebanon dinyalakan piramida mesir solidaritas musibah ledakan mengguncang kota beirut kementerian pariwisata antik mesir membagikan fotofoto facebook piramida belasungkawa lebanon duniaislam iniwstudies beritaduniaislam beritaterkini,401548.jpg,lampu bendera lebanon dinyalakan piramida mesir lampu bendera lebanon dinyalakan piramida mesir solidaritas musibah ledakan mengguncang kota beirut kementerian pariwisata antik mesir membagikan fotofoto facebook piramida belasungkawa lebanon duniaislam iniwstudies beritaduniaislam beritaterkini,0
410239,28-Jun-20,informasi cetak kartu utbk juni,halo calon mahasiswa indonesia dicatat ya guys biar gak senin juni silakan cek portalltmptacid mendownload kartu utbk terima kasih share tau 🙂 semangat jaga kesehatan ”,410239.jpg,informasi cetak kartu utbk juni halo calon mahasiswa indonesia dicatat ya guys biar gak senin juni silakan cek portalltmptacid mendownload kartu utbk terima kasih share tau 🙂 semangat jaga kesehatan ”,1
419953,2-Jan-20,cengarcengir selfie warga jakarta kebanjiran,cengar cengir selfie warga jakarta kebanjiran,419953.jpg,cengarcengir selfie warga jakarta kebanjiran cengar cengir selfie warga jakarta kebanjiran,1
424945,14-Apr-17,masjid raya dki bersimbol bintang david yahudi,masjid raya dki bersimbol bintang david yahudi,424945.jpg,masjid raya dki bersimbol bintang david yahudi masjid raya dki bersimbol bintang david yahudi,1
431494,7-Jun-18,akun facebook donasi anak penderita kanker tulang,bpk presiden ri tolong anak kakak mengidap kanker tulang biaya operasi menahan sakit menangis… menghabiskan biaya berobat kesana kemari kunjung da hasil dokter ambil tindakan bedah paha kanan nya…tolong orang susah pakk orang susah rumah sakit melayani tolong tolong kasihan kadang malam pahanya gerogoti didalam menggigil menahan sakit,431494.jpg,akun facebook donasi anak penderita kanker tulang bpk presiden ri tolong anak kakak mengidap kanker tulang biaya operasi menahan sakit menangis… menghabiskan biaya berobat kesana kemari kunjung da hasil dokter ambil tindakan bedah paha kanan nya…tolong orang susah pakk orang susah rumah sakit melayani tolong tolong kasihan kadang malam pahanya gerogoti didalam menggigil menahan sakit,0
433707,29-Nov-16,nusron wahid diludahi peserta aksi orang,nusron wahid “ peserta aksi seribu orang ludahi muka,433707.jpg,nusron wahid diludahi peserta aksi orang nusron wahid “ peserta aksi seribu orang ludahi muka,1
434161,8-Sep-15,mata uang rupiah terpuruk,rabu nilai tukar rupiah terpuruk melewati rp dolar as,434161.jpg,mata uang rupiah terpuruk rabu nilai tukar rupiah terpuruk melewati rp dolar as,1
435664,2-Apr-20,pemerintah stop layanan krl mrt lrt transjakarta jabodetabek april,news update pemerintah stop layanan krlmrtlrttransjakarta tutup terminal jabodetabek april sumber ig depokjam,435664.jpg,pemerintah stop layanan krl mrt lrt transjakarta jabodetabek april news update pemerintah stop layanan krlmrtlrttransjakarta tutup terminal jabodetabek april sumber ig depokjam,1
441343,9-Apr-17,soda kue dicampur madu menyembuhkan kanker,soda kue madu kanker lenyap,441343.jpg,soda kue dicampur madu menyembuhkan kanker soda kue madu kanker lenyap,1
442762,23-Jul-20,foto mobil esemka berbahan dasar kayu,grup tinggalin dlu pokus pilkada disolo,442762.jpg,foto mobil esemka berbahan dasar kayu grup tinggalin dlu pokus pilkada disolo,1
450588,21-Aug-20,suara sumbang korona haruskah dipenjara,suara sumbang korona haruskah dipenjara kompas tv rosi live agustus wib simak,450588.jpg,suara sumbang korona haruskah dipenjara suara sumbang korona haruskah dipenjara kompas tv rosi live agustus wib simak,1
451081,11-Jul-20,video doa imam masjidil haram mekah assyeikh sudais musibah virus corona,doa assyeikh sudais imam masjidil haram mekah musibah virus corona melanda umat mari aamiin doa bersama… sebarkan,451081.jpg,video doa imam masjidil haram mekah assyeikh sudais musibah virus corona doa assyeikh sudais imam masjidil haram mekah musibah virus corona melanda umat mari aamiin doa bersama… sebarkan,1
475271,12-Aug-20,presiden israel ancam indonesia jadikan indonesia palestina,viral presiden israel ancam indonesia,475271.jpg,presiden israel ancam indonesia jadikan indonesia palestina viral presiden israel ancam indonesia,1
481012,4-Apr-18,info pemutihan surat izin mengemudi april,pemutihan sim mati gol ab c polwil berlaku tanggal desember sd januari tolong bantu share ya memiliki sim mati perbarui menggulang tes berlaku indonesia,481012.jpg,info pemutihan surat izin mengemudi april pemutihan sim mati gol ab c polwil berlaku tanggal desember sd januari tolong bantu share ya memiliki sim mati perbarui menggulang tes berlaku indonesia,1
483211,6-Dec-15,tulisan cocacola menghina nabi muhammad,gambar grafis logo cocacola dibalik bahasa arab “ la mohammad la mecca ” no muhammad no makkah,483211.jpg,tulisan cocacola menghina nabi muhammad gambar grafis logo cocacola dibalik bahasa arab “ la mohammad la mecca ” no muhammad no makkah,1
494615,11-Jul-19,krupuk babi ber label halal,tugas wapres apasih…,494615.jpg,krupuk babi ber label halal tugas wapres apasih…,1
499338,4-Nov-16,foto perempuan berjilbab aksi bela islam membawa poster ahok lawan,foto perempuan berjilbab aksi bela islam membawa poster ‘ ahok lawan ’,499338.jpg,foto perempuan berjilbab aksi bela islam membawa poster ahok lawan foto perempuan berjilbab aksi bela islam membawa poster ‘ ahok lawan ’,1
507483,20-Nov-16,foto biksu burma membakar anakanak,ga foto biksu burma saverohingya,507483.jpg,foto biksu burma membakar anakanak ga foto biksu burma saverohingya,1
508611,22-Jun-20,denda rp ribu razia masker tanggal juni,woro – woro assalamu ’ alaikum wr…wb… mohon ijin masyarakat senin besok tgl juni pemda kendal melaksanakan razia pemakaian masker dlm rangka melaksanakan protokol kesehatan pengguna jln raya skala kecamatan pelanggar kenakan sangsi sosial,508611.jpg,denda rp ribu razia masker tanggal juni woro – woro assalamu ’ alaikum wr…wb… mohon ijin masyarakat senin besok tgl juni pemda kendal melaksanakan razia pemakaian masker dlm rangka melaksanakan protokol kesehatan pengguna jln raya skala kecamatan pelanggar kenakan sangsi sosial,1
509709,4-Mar-20,dr tompi jg pesen box bu,dr tompi jg pesen box bu,509709.jpg,dr tompi jg pesen box bu dr tompi jg pesen box bu,1
515953,20-Jan-16,penerimaan mahasiswa ui jalur mtq talent,assalamu ’ alaikum yg anak adik ponakan saudara kelas sma yg hafidz juz yg masuk ui ui qur ’ an center nyari calon mahasiswa yg direkomendasikan rektor masuk jalur khusus mtq talent kalo silakan hubungi sdri haifa terima kasih,515953.jpg,penerimaan mahasiswa ui jalur mtq talent assalamu ’ alaikum yg anak adik ponakan saudara kelas sma yg hafidz juz yg masuk ui ui qur ’ an center nyari calon mahasiswa yg direkomendasikan rektor masuk jalur khusus mtq talent kalo silakan hubungi sdri haifa terima kasih,1
522074,16-Mar-18,bahaya makanan anak kinder joy sebabkan kanker,stop makan kinderjoy,522074.jpg,bahaya makanan anak kinder joy sebabkan kanker stop makan kinderjoy,1
523754,13-Dec-16,penangkapan tersangka teroris temuan bom bekasi usaha pengalihan isu,penangkapan tersangka teroris temuan bom bekasi usaha pengalihan isu,523754.jpg,penangkapan tersangka teroris temuan bom bekasi usaha pengalihan isu penangkapan tersangka teroris temuan bom bekasi usaha pengalihan isu,0
529259,5-Sep-18,anies baswedan bantah sudirman said wakil gubernur dki jakarta,membantah ditulis kemarin kirim teks langsung pemrednya ditulis salah media fiktif ” gubernur dki jakarta anies baswedan selasa,529259.jpg,anies baswedan bantah sudirman said wakil gubernur dki jakarta membantah ditulis kemarin kirim teks langsung pemrednya ditulis salah media fiktif ” gubernur dki jakarta anies baswedan selasa,0
531089,22-Oct-17,penempelan jabatan helm proyek aniessandi,penempelan jabatan helm proyek aniessandi,531089.jpg,penempelan jabatan helm proyek aniessandi penempelan jabatan helm proyek aniessandi,1
533770,24-Apr-20,akun instagram peminjaman online ojk,otoritas jasa keuangan butuh dana cepat modal usaha jt sd jt,533770.jpg,akun instagram peminjaman online ojk otoritas jasa keuangan butuh dana cepat modal usaha jt sd jt,0
533831,16-Apr-20,obat virus corona ditemukan berbahan lemon teh hangat,orang arab palestina santai virus palestina orang minum segelas air panas campuran lemon malam terbukti membunuh virussubhanallah bagikan keluarga teman mudahan terinfeksi virus,533831.jpg,obat virus corona ditemukan berbahan lemon teh hangat orang arab palestina santai virus palestina orang minum segelas air panas campuran lemon malam terbukti membunuh virussubhanallah bagikan keluarga teman mudahan terinfeksi virus,1
543597,10-Jul-17,tim olimpiade sains nasional jabar terlantar riau,wakil jawa barat olimpiade sains nasional pekanbaru diantar bandara pakai angkot uang saku ribu orang ribu kalo anakanak juara olimpiade sains ribut nampang mukanya mengakui berkat jasa pemerintah jawa barat menganggap sains peduli setan aset bangsayang bangun masjid trilyun selesaikan do ’ a lupa makan sosis minum gambar badaknyaaa… ￼￼,543597.jpg,tim olimpiade sains nasional jabar terlantar riau wakil jawa barat olimpiade sains nasional pekanbaru diantar bandara pakai angkot uang saku ribu orang ribu kalo anakanak juara olimpiade sains ribut nampang mukanya mengakui berkat jasa pemerintah jawa barat menganggap sains peduli setan aset bangsayang bangun masjid trilyun selesaikan do ’ a lupa makan sosis minum gambar badaknyaaa… ￼￼,0
554720,10-Apr-18,hut garuda indonesia bagibagi tiket gratis,merayakan ulang tiket pesawat gratis,554720.jpg,hut garuda indonesia bagibagi tiket gratis merayakan ulang tiket pesawat gratis,1
555907,8-Jul-17,nikah gratis hotel trans bandung,nikah gratis hotel trans bandung tgl nopember pasang pengantin fasilitas mas kawin rrias pengantin bbiaya pendaftaran nikah kuauang saku jamuan hidangan rp porsi biaya ditanggung tabarru dr kuwaitbagi yg berminat daftar masjid trans studio jl gatot subroto bdg dg membawa fotocopy ktp kk hubungi bpk h maman tolong sebarkan barangkali sanak saudara tetangga yg membutuhkannya jazakumulloh khoiron katsir,555907.jpg,nikah gratis hotel trans bandung nikah gratis hotel trans bandung tgl nopember pasang pengantin fasilitas mas kawin rrias pengantin bbiaya pendaftaran nikah kuauang saku jamuan hidangan rp porsi biaya ditanggung tabarru dr kuwaitbagi yg berminat daftar masjid trans studio jl gatot subroto bdg dg membawa fotocopy ktp kk hubungi bpk h maman tolong sebarkan barangkali sanak saudara tetangga yg membutuhkannya jazakumulloh khoiron katsir,1
557638,7-Jul-20,foto gubernur dki jakarta menghilang kisruh ppdb jakarta,hilang gubernur dki konpers mulu mendadak dimana kisruh ppdb dki dicari ribuan orang tua siswa muncul,557638.jpg,foto gubernur dki jakarta menghilang kisruh ppdb jakarta hilang gubernur dki konpers mulu mendadak dimana kisruh ppdb dki dicari ribuan orang tua siswa muncul,1
570312,23-Agu-18,artikel akal pendek obral aset bangsa ditulis akbar faisal anggota dpr ri fraksi partai nasdem,gilanya bandara soekarnohatta ikon kebanggaan pintu gerbang indonesia dilego,570312.jpg,artikel akal pendek obral aset bangsa ditulis akbar faisal anggota dpr ri fraksi partai nasdem gilanya bandara soekarnohatta ikon kebanggaan pintu gerbang indonesia dilego,0
571422,12-Feb-18,jalan layang tendean ciledug rusak,kepala dinas bina marga dki jakarta yusmada fizal “ istilah retakan viral whatsapp keliru garis retakan celah sambungan delatasi ”,571422.jpg,jalan layang tendean ciledug rusak kepala dinas bina marga dki jakarta yusmada fizal “ istilah retakan viral whatsapp keliru garis retakan celah sambungan delatasi ”,0
572817,25-Dec-16,atlet karate berjilbab dilarang bertanding kompetisi karate sejatim,mayoritaskah minoritas jumat desember magetan aulia mengikuti perlombaan karate sejatim gor magetan siswi smpit harapan umat ngawi mengenakan sabuk biru aulia siswa berjilbab menjelang pertandingan juri memeriksa calon peserta juri peserta membuka jilbab,572817.jpg,atlet karate berjilbab dilarang bertanding kompetisi karate sejatim mayoritaskah minoritas jumat desember magetan aulia mengikuti perlombaan karate sejatim gor magetan siswi smpit harapan umat ngawi mengenakan sabuk biru aulia siswa berjilbab menjelang pertandingan juri memeriksa calon peserta juri peserta membuka jilbab,0
574599,5-May-20,video demo tka china morowali,fakta rakyat cemburu… marah rakyat membutuhkan pekerjaan… pemerintah membiarkan terjadi…,574599.jpg,video demo tka china morowali fakta rakyat cemburu… marah rakyat membutuhkan pekerjaan… pemerintah membiarkan terjadi…,1
575228,10-Mar-20,liputan media acara diskusi publik mafindo mitigasi hoaks covid,mafindo hoax corona berbahaya virusnya,575228.jpg,liputan media acara diskusi publik mafindo mitigasi hoaks covid mafindo hoax corona berbahaya virusnya,0
578500,23-Agu-18,kominfo bantah kebocoran anggaran asian games rp juta asian games,pernyataan saudara jajang nurjaman potensi kerugian negara membandingkan harga penawaran pt indoad pt bee work pariwara relevan ” plt kepala biro humas kominfo noor iza selasa,578500.jpg,kominfo bantah kebocoran anggaran asian games rp juta asian games pernyataan saudara jajang nurjaman potensi kerugian negara membandingkan harga penawaran pt indoad pt bee work pariwara relevan ” plt kepala biro humas kominfo noor iza selasa,0
579802,5-Jan-18,konvoi mobil militan isis hujani bom pesawat tempur iraq,konvoi mobil militan isis hujani bom pesawat tempur iraq,579802.jpg,konvoi mobil militan isis hujani bom pesawat tempur iraq konvoi mobil militan isis hujani bom pesawat tempur iraq,1
585836,8-Jan-19,gambar judul artikel berjudul penyewa va kader pks,kualitas kader partai berbasis islam,585836.jpg,gambar judul artikel berjudul penyewa va kader pks kualitas kader partai berbasis islam,1
591356,30-Mar-20,istana lock down daerah kepala daerah aturan kenakan sanksi,istana lock down daerah kepala daerah aturan kenakan sanksi teguran hukuman indispliner… presiden menegur keras kepala daerah,591356.jpg,istana lock down daerah kepala daerah aturan kenakan sanksi istana lock down daerah kepala daerah aturan kenakan sanksi teguran hukuman indispliner… presiden menegur keras kepala daerah,0
591484,19-Mar-20,donald trump umumkan roche medical company meluncurkan vaksin covid jutaan dosis minggu,vaksin virus corona trump mengumumkan roche medical company meluncurkan vaksin minggu jutaan dosis permainan selesai now direct announced that roche medical company will launch the vaccine next sunday and millions of doses are ready from it the end of the play ”,591484.jpg,donald trump umumkan roche medical company meluncurkan vaksin covid jutaan dosis minggu vaksin virus corona trump mengumumkan roche medical company meluncurkan vaksin minggu jutaan dosis permainan selesai now direct announced that roche medical company will launch the vaccine next sunday and millions of doses are ready from it the end of the play ”,1
596546,8-Nov-17,jonru ginting divonis denda m,sidang praperadilan jon riah ukur alias jonru komentar netizien sidang langsung ponis pendukungnya kewalahan perwakilan kejati dki termohon membawa surat kuasa,596546.jpg,jonru ginting divonis denda m sidang praperadilan jon riah ukur alias jonru komentar netizien sidang langsung ponis pendukungnya kewalahan perwakilan kejati dki termohon membawa surat kuasa,1
596922,12-May-17,penemu listrik naufal rizky dipedulikan jokowi,dipedulikan jokowi brunei turki berebut bocah aceh dunia,596922.jpg,penemu listrik naufal rizky dipedulikan jokowi dipedulikan jokowi brunei turki berebut bocah aceh dunia,1
596995,3-Apr-17,uang nkri edisi berhasil dipalsukan,heboh genap setahun uang nkri edisi berhasil dipalsukan ciricirinya,596995.jpg,uang nkri edisi berhasil dipalsukan heboh genap setahun uang nkri edisi berhasil dipalsukan ciricirinya,1
598233,5-Aug-20,foto jokowi sih apapun lakukan salah dimata,sih apapun lakukan salah dimata,598233.jpg,foto jokowi sih apapun lakukan salah dimata sih apapun lakukan salah dimata,1
611988,19-Apr-18,desain interior langitlangit bandara kertajati lambang iluminati,bandar udarah internasional jawa barat kertajati…ada persamaan lambang dajjal… maaf bentuk kewaspadaan zaman,611988.jpg,desain interior langitlangit bandara kertajati lambang iluminati bandar udarah internasional jawa barat kertajati…ada persamaan lambang dajjal… maaf bentuk kewaspadaan zaman,0
614106,27-Jul-16,lowongan kerja bank bni,bank bni membuka lowongan kerja kualifikasi,614106.jpg,lowongan kerja bank bni bank bni membuka lowongan kerja kualifikasi,1
614663,2-Aug-20,adidas menawarkan sepatu gratis tshirt masker,wow adidas menawarkan sepatu gratis tshirt masker orang dapatkan milik gratis,614663.jpg,adidas menawarkan sepatu gratis tshirt masker wow adidas menawarkan sepatu gratis tshirt masker orang dapatkan milik gratis,1
617172,14-Sep-19,habibie donorkan mata anaknya thareq,habibie donorkan mata anaknya thareq,617172.jpg,habibie donorkan mata anaknya thareq habibie donorkan mata anaknya thareq,1
617970,20-Apr-19,prabowo setuju hasil quick count pilpres ucapkan selamat jokowi,prabowo subianto ucapkan selamat jokowi pertemuan rumah sumitro,617970.jpg,prabowo setuju hasil quick count pilpres ucapkan selamat jokowi prabowo subianto ucapkan selamat jokowi pertemuan rumah sumitro,1
621383,5-Sep-17,salah akibat efek menyebarkan informasi kebenarannya,salah akibat efek menyebarkan informasi kebenarannya,621383.jpg,salah akibat efek menyebarkan informasi kebenarannya salah akibat efek menyebarkan informasi kebenarannya,1
622449,16-Jan-16,tuduhan konspirasi pistol dipakai teroris bom sarinah,senjata dipakai teroris sarinah dituduh berasal militer pemerintah,622449.jpg,tuduhan konspirasi pistol dipakai teroris bom sarinah senjata dipakai teroris sarinah dituduh berasal militer pemerintah,1
627547,7-Sep-18,tangkapan layar hasil suntingan berita kompas bawaslu loloskan caleg eks koruptor,orangorang bawaslu dimatamatai jam gelagatnya mengerikan,627547.jpg,tangkapan layar hasil suntingan berita kompas bawaslu loloskan caleg eks koruptor orangorang bawaslu dimatamatai jam gelagatnya mengerikan,0
629208,21-Nov-17,festival durian klaten jawa,ribu makan durian sepuasnya on the spot lokasi festival khawatir kehabisan stok durian melimpah ruah pengunjung membelah duriah siaga petugas stand visitklaten ayomakanduren,629208.jpg,festival durian klaten jawa ribu makan durian sepuasnya on the spot lokasi festival khawatir kehabisan stok durian melimpah ruah pengunjung membelah duriah siaga petugas stand visitklaten ayomakanduren,1
